Id,RecordType.Name,Industry,Industry_Sub_Type__c,Business_Type__c,Country__c,Is_External__c,ParentId
0012e000002Z51eAAC,University Department,,,,,Internal,0012e000002ZmOZAA0
0012e000002Zt1lAAC,University Department,,,,,Internal,0012e000002Zt1GAAS
0012e000003A6EQAA0,Business Organization,Health,Health Care & Healthy Aging,Not for profit,Australia,External,0012e000003A6QGAA0
0012e000003A6ETAA0,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Local & State,Australia,External,
0012e000003A6ExAAK,Business Organization,Agriculture & Horticulture,,Not for profit,Australia,External,
0012e000003A6F2AAK,Business Organization,Services,Financial & Insurance,Government: Australia: Federal,Australia,External,0012e000003A6FfAAK
0012e000003A6FbAAK,Business Organization,Energy & Utilities,,Government: Australia: Local & State,Australia,External,0012e000003A78yAAC
0012e000003A6H1AAK,Business Organization,Forestry & Paper,,Not for profit,Mexico,External,
0012e000003A6HVAA0,Business Organization,Health,Biotechnology (non-Pharma),SME (small to medium enterprise),Australia,External,
0012e000003A6IOAA0,Business Organization,Services,Business & Professional,SME (small to medium enterprise),Australia,External,
0012e000003A6ItAAK,Business Organization,Energy & Utilities,,SME (small to medium enterprise),Australia,External,
0012e000003A6NYAA0,Business Organization,Services,"Retail, Travel, Hospitality & Leisure",Multinational / Other Large Corporate,Australia,External,
0012e000003A6NcAAK,Business Organization,Construction & Construction Materials,,Not for profit,Australia,External,0012e000003A6NzAAK
0012e000003A6NsAAK,Business Organization,Construction & Construction Materials,,Multinational / Other Large Corporate,Australia,External,
0012e000003A6OFAA0,Business Organization,Health,Health Care & Healthy Aging,Not for profit,Australia,External,
0012e000003A6OQAA0,Business Organization,Technology: IT & Telephone Services,,SME (small to medium enterprise),Australia,External,
0012e000003A6OSAA0,Business Organization,Technology: IT & Telephone Services,,SME (small to medium enterprise),Australia,External,
0012e000003A6OhAAK,Business Organization,Services,Financial & Insurance,Large Australian Corporate,Australia,External,0012e000003A6PuAAK
0012e000003A6P4AAK,Business Organization,Services,Financial & Insurance,Government: Australia: Federal,Australia,External,
0012e000003A6P5AAK,Business Organization,Manufacturing & R&D,"Hardware, Electronics and Electrical Equipment",Multinational / Other Large Corporate,Australia,External,0012e000003A6OeAAK
0012e000003A6P8AAK,Business Organization,Health,Health Care & Healthy Aging,Not for profit,Italy,External,
0012e000003A6PFAA0,Business Organization,Technology: IT & Telephone Services,,Large Australian Corporate,Australia,External,
0012e000003A6PHAA0,Business Organization,Health,Health Care & Healthy Aging,SME (small to medium enterprise),Australia,External,
0012e000003A6POAA0,Business Organization,Energy & Utilities,,SME (small to medium enterprise),Australia,External,
0012e000003A6PRAA0,Business Organization,Technology: IT & Telephone Services,,SME (small to medium enterprise),Australia,External,
0012e000003A6PZAA0,Business Organization,Materials: Chemicals & Industrial Metals,,Not for profit,Australia,External,
0012e000003A6PuAAK,Business Organization,Services,Financial & Insurance,Large Australian Corporate,Australia,External,
0012e000003A6PxAAK,Business Organization,Public Administration,,Government: Australia: Local & State,Australia,External,
0012e000003A6Q2AAK,Business Organization,Health,Health Care & Healthy Aging,Government: International,China,External,
0012e000003A6Q7AAK,Business Organization,Services,Education,Not for profit,Australia,External,
0012e000003A6QEAA0,Business Organization,Health,Health Care & Healthy Aging,Not for profit,Australia,External,
0012e000003A6QKAA0,Business Organization,Agriculture & Horticulture,,SME (small to medium enterprise),Australia,External,
0012e000003A6QsAAK,Business Organization,Services,Entertainment & Creative Industries,SME (small to medium enterprise),China,External,
0012e000003A6R2AAK,Business Organization,Health,Health Care & Healthy Aging,Not for profit,Australia,External,
0012e000003A6ROAA0,Business Organization,Technology: IT & Telephone Services,,Multinational / Other Large Corporate,United States of America,External,
0012e000003A6TDAA0,Business Organization,Services,Community,Not for profit,Australia,External,
0012e000003A6U9AAK,Business Organization,Construction & Construction Materials,,SME (small to medium enterprise),Australia,External,
0012e000003A6UAAA0,Business Organization,Public Administration,,Government: Australia: Local & State,Australia,External,
0012e000003A6UcAAK,Business Organization,Construction & Construction Materials,,Large Australian Corporate,Australia,External,
0012e000003A6UdAAK,Business Organization,Construction & Construction Materials,,Not for profit,Germany,External,
0012e000003A6UhAAK,Business Organization,Agriculture & Horticulture,,Not for profit,Australia,External,
0012e000003A6UoAAK,Business Organization,Services,Environmental,Government: Australia: Local & State,Australia,External,
0012e000003A6UrAAK,Business Organization,Services,Education,University,Australia,External,
0012e000003A6V4AAK,Business Organization,Public Administration,,Not for profit,Australia,External,
0012e000003A6VFAA0,Business Organization,Services,Financial & Insurance,SME (small to medium enterprise),Australia,External,
0012e000003A6VQAA0,Business Organization,Health,Pharmaceuticals,SME (small to medium enterprise),Australia,External,
0012e000003A6VdAAK,Business Organization,Services,Education,Not for profit,Australia,External,
0012e000003A6VtAAK,Business Organization,Services,Community,Government: Australia: Federal,Australia,External,
