Id,WhatId,ActivityDate,Status,OwnerId,Type,EventSubtype
00U2e000001IF23EAG,0062e000002HGsdAAG,6/11/19,Completed,0052e000000VJBbAAO,Email,Event
00U2e000001IMqnEAG,0062e000002HGMGAA4,11/11/19,Completed,0052e000000VJI6AAO,,Event
00U2e000001Ip3kEAC,0062e000002HGhdAAG,22/11/19,Completed,0052e000000VJBxAAO,,Event
00U2e000001J79cEAC,0062e000002HGu8AAG,11/12/19,Completed,0052e000000VJC8AAO,Meeting,Event
00U2e000001JDY3EAO,0062e000002ILYxAAO,4/12/19,Completed,0052e000000VJDKAA4,,Event
00U2e000001JKpsEAG,0062e000002HHCNAA4,9/12/19,Completed,0052e000000VJEBAA4,Email,Event
00U2e000001JKpxEAG,0062e000002HG8zAAG,12/12/19,Completed,0052e000000VJEBAA4,Email,Event
00U2e000001JP7AEAW,0062e000002HGeYAAW,9/12/19,Completed,0052e000000VJDEAA4,,Event
00U2e000001JmT7EAK,0062e000002JfxiAAC,19/12/19,Completed,0052e000000VtU9AAK,Meeting,Event
00U2e000001K9T8EAK,0062e000002HHQQAA4,8/1/20,Completed,0052e000000VJIHAA4,,Event
00U2e000001KHASEA4,0062e000002HGu3AAG,10/1/20,Completed,0052e000000VJCzAAO,Meeting,Event
00U2e000001KZToEAO,0062e000002Kg8nAAC,16/12/19,Completed,0052e000000VJI6AAO,Meeting,Event
00U2e000001KerAEAS,0062e000002HGogAAG,20/1/20,Completed,0052e000000VJCOAA4,,Event
00U2e000001L2cNEAS,0062e000002HGe0AAG,29/1/20,Completed,0052e000000VJDEAA4,,Event
00U2e000001LAY4EAO,0062e000002HFwBAAW,31/1/20,Completed,0052e000000VJBxAAO,,Event
00U2e000001LFvfEAG,0062e000002HGqMAAW,13/2/20,Completed,0052e000000VJCzAAO,,Event
00U2e000001LSCiEAO,0062e000002IknvAAC,7/2/20,Completed,0052e000000VJHmAAO,,Event
00U2e000001LlfrEAC,0062e000002HHIsAAO,20/2/20,Completed,0052e000000VJEBAA4,Call,Event
00U2e000001LlgBEAS,0062e000002HHImAAO,17/2/20,Completed,0052e000000VJEBAA4,Email,Event
00U2e000001LlgVEAS,0062e000002HFwOAAW,17/2/20,Completed,0052e000000VJEBAA4,Call,Event
00U2e000001MOHPEA4,0062e000002MAkhAAG,27/2/20,Completed,0052e000000VJEBAA4,Meeting,Event
00U2e000001MOHeEAO,0062e000002MAkhAAG,28/2/20,Completed,0052e000000VJEBAA4,Email,Event
00U2e000001MWm7EAG,0062e000002HH3KAAW,17/4/20,Completed,0052e000000VJEBAA4,Email,Event
00U2e000001MyTZEA0,0062e000002Mt4ZAAS,16/3/20,Completed,0052e000000VJEBAA4,Email,Event
00U2e000001MyU7EAK,0062e000002Mt4ZAAS,12/3/20,Completed,0052e000000VJEBAA4,Meeting,Event
00U2e000001Pc1UEAS,0062e000002HGfpAAG,24/2/20,Completed,0052e000000VJC5AAO,Meeting,Event
00U2e000001PsXYEA0,0062e000002QsW9AAK,30/8/19,Completed,0052e000000VJC5AAO,Meeting,Event
00U2e000001QRo9EAG,0062e000002HGfkAAG,29/1/20,Completed,0052e000000VJC5AAO,Other,Event
00U2e000001QRt0EAG,0062e000002IFxHAAW,28/11/19,Completed,0052e000000VJC5AAO,Meeting,Event
00U2e000001R34GEAS,0062e000002QzxGAAS,11/5/20,Completed,0052e000000VJDLAA4,Meeting,Event
00U2e000001R3WvEAK,0062e000002IU1fAAG,17/10/19,Completed,0052e000000VJC5AAO,Meeting,Event
00U2e000001R3aQEAS,0062e000002IU1fAAG,9/9/19,Completed,0052e000000VJC5AAO,Meeting,Event
00U2e000001R3cQEAS,0062e000002IFxHAAW,11/10/19,Completed,0052e000000VJC5AAO,Meeting,Event
00U2e000001R3hAEAS,0062e000002HG3NAAW,24/10/19,Completed,0052e000000VJC5AAO,Meeting,Event
00U2e000001R3hZEAS,0062e000002HG3KAAW,26/9/19,Completed,0052e000000VJC5AAO,Meeting,Event
00U2e000001R3onEAC,0062e000002QrgIAAS,29/10/19,Completed,0052e000000VJC5AAO,Meeting,Event
00U2e000001R3spEAC,0062e000002HGfiAAG,7/8/19,Completed,0052e000000VJC5AAO,,Event
00U2e000001R4EuEAK,0062e000002RjMWAA0,13/2/20,Completed,0052e000000VJC5AAO,,Event
00U2e000001R4QKEA0,0062e000002HGihAAG,14/1/20,Completed,0052e000000VJC5AAO,,Event
00U2e000001R5cNEAS,0062e000002HGflAAG,7/8/19,Completed,0052e000000VJC5AAO,,Event
00U2e000001R5cOEAS,0062e000002HGflAAG,5/9/19,Completed,0052e000000VJC5AAO,,Event
00U2e000001R5d5EAC,0062e000002HGflAAG,12/11/19,Completed,0052e000000VJC5AAO,,Event
00U2e000001R5uFEAS,0062e000002HGijAAG,17/9/19,Completed,0052e000000VJC5AAO,,Event
00U2e000001R7JhEAK,0062e000002ReGoAAK,27/4/20,Completed,0052e000000VJC5AAO,Call,Event
00U2e000001R7a7EAC,0062e000002R3DGAA0,28/5/20,Completed,0052e000000VJC5AAO,,Event
00U2e000001R7fvEAC,0062e000002HG3PAAW,8/8/19,Completed,0052e000000VJC5AAO,Meeting,Event
00U2e000001R7mcEAC,0062e000002HG3LAAW,14/8/19,Completed,0052e000000VJC5AAO,,Event
00U2e000001R7oFEAS,0062e000002HG3LAAW,15/10/19,Completed,0052e000000VJC5AAO,,Event
00U2e000001R7ojEAC,0062e000002HG3LAAW,19/8/19,Completed,0052e000000VJC5AAO,,Event
00U2e000001R8YzEAK,0062e000002HG3LAAW,9/10/19,Completed,0052e000000VJC5AAO,,Event
00U2e000001R8ZJEA0,0062e000002HG3LAAW,4/9/19,Completed,0052e000000VJC5AAO,,Event
00U2e000001R8ZdEAK,0062e000002HG3LAAW,27/8/19,Completed,0052e000000VJC5AAO,,Event
00U2e000001R8ciEAC,0062e000002HG3QAAW,12/12/19,Completed,0052e000000VJC5AAO,,Event
00U2e000001R8kiEAC,0062e000002ILYxAAO,2/10/19,Completed,0052e000000VJC5AAO,,Event
00U2e000001RHIqEAO,0062e000002SIFLAA4,5/2/20,Completed,0052e000000VJC5AAO,,Event
00U2e000001RHL1EAO,0062e000002SIFLAA4,11/12/19,Completed,0052e000000VJC5AAO,Meeting,Event
00U2e000001RUXWEA4,0062e000002SICvAAO,9/9/19,Completed,0052e000000VJC5AAO,Meeting,Event
00U2e000001RUdPEAW,0062e000002SICRAA4,28/8/19,Completed,0052e000000VJC5AAO,Meeting,Event
00U2e000001RUerEAG,0062e000002SICRAA4,7/10/19,Completed,0052e000000VJC5AAO,Call,Event
00U2e000001RUvNEAW,0062e000002SII4AAO,14/11/19,Completed,0052e000000VJC5AAO,,Event
00U2e000001RVZ4EAO,0062e000002SIIYAA4,23/4/20,Completed,0052e000000VJC5AAO,Call,Event
00U2e000001RViiEAG,0062e000002SIKKAA4,6/12/19,Completed,0052e000000VJC5AAO,,Event
00U2e000001RVp4EAG,0062e000002SIPAAA4,19/9/19,Completed,0052e000000VJC5AAO,Meeting,Event
00U2e000001RWHPEA4,0062e000002SIVXAA4,23/1/20,Completed,0052e000000VJC5AAO,Meeting,Event
00U2e000001RWLgEAO,0062e000002SIYWAA4,28/2/20,Completed,0052e000000VJC5AAO,Meeting,Event
00U2e000001RbjKEAS,0062e000002HGfpAAG,13/8/19,Completed,0052e000000VJC5AAO,Call,Event
00U2e000001RbjUEAS,0062e000002HGfpAAG,4/9/19,Completed,0052e000000VJC5AAO,Meeting,Event
00U2e000001RbjeEAC,0062e000002HGfpAAG,20/2/20,Completed,0052e000000VJC5AAO,Meeting,Event
00U2e000001RblQEAS,0062e000002SjzeAAC,16/4/20,Completed,0052e000000VJC5AAO,,Event
00U2e000001RbyHEAS,0062e000002SjzeAAC,24/3/20,Completed,0052e000000VJC5AAO,Call,Event
00U2e000001RbzjEAC,0062e000002Sk4xAAC,16/1/20,Completed,0052e000000VJC5AAO,,Event
00U2e000001Rc8qEAC,0062e000002Sk5qAAC,13/3/20,Completed,0052e000000VJC5AAO,,Event
