Id,StageName,Status_Reason__c,RecordType.Name,Final_Record_Type__c,RICE_Supported__c,CreatedDate,CloseDate,Actual_Close_Date__c,Amount,Estimated_Project_Total_Value__c,Booked_Revenue__c,Actual_Project_Total_Value__c,BD_Cluster__c,BD_Division__c,CE_Course_Audience_Type__c,CE_Course_Type__c,AccountId,Customer_Contact__c,Lead_Academic_contact__c,Lead_Faculty__c,Lead_School__c,Lead_Department__c,Supporting_Faculty_1__c,Supporting_Faculty_2__c,OwnerId,Parent_Opportunity__c
0062e000002IQHBAA4,Proposing,On Track,Custom Education (MSPACE Included),Custom Education (MSPACE Included),RIC-BD&I,2019-11-25T02:38:42.000Z,21/1/21,,594623,594623,,,RIC-BDI-HASS,MGSE,B2B/Custom,Non-accredited,0012e000003A6pIAAS,,0032e000002cIiBAAU,0012e000002Zmo0AAC,,,,,0052e000000VJI7AAO,
0062e000002HGAxAAO,Closed Lost,Customer No Longer Interested,Research Contract,Research Contract,RIC-BD&I,2018-12-17T01:56:18.000Z,1/11/19,11/2/19,0,,,,,,,,0012e000003A6qZAAS,,,,,,,,0052e000000VJIFAA4,
0062e000002HGAyAAO,Closed Lost,Customer No Longer Interested,Research Contract,Research Contract,RIC RE&D and BD&I,2018-10-01T01:47:48.000Z,1/11/19,17/12/18,0,,,,,,,,0012e000003A6qZAAS,,,,,,,,0052e000000VJIFAA4,
0062e000002HGAzAAO,Closed Lost,Other (Lost),Research Contract,Research Contract,RIC-BD&I,2018-12-17T01:29:44.000Z,1/11/19,27/5/19,0,,,,,,,,0012e000003A6qTAAS,,,,,,,,0052e000000VJIFAA4,
0062e000002HGB0AAO,Closed Lost,Customer No Longer Interested,Research Contract,Research Contract,RIC RE&D and BD&I,2018-10-01T01:00:19.000Z,1/11/19,17/12/18,0,,,,,,,,0012e000003A6qZAAS,,,,,,,,0052e000000VJIFAA4,
0062e000002HGB1AAO,Closed Lost,Other (Lost),Research Contract,Research Contract,RIC-BD&I,2019-01-18T03:25:07.000Z,1/11/19,27/5/19,0,,,,,,,,0012e000003A6qZAAS,,,,,,,,0052e000000VJIFAA4,
0062e000002HGB2AAO,Closed Lost,Customer No Longer Interested,Research Contract,Research Contract,RIC RE&D and BD&I,2018-10-25T03:54:37.000Z,1/11/19,17/12/18,0,,,,,,,,0012e000003A6qZAAS,,,,,,,,0052e000000VJIFAA4,
0062e000002HGB3AAO,Closed Lost,Customer No Longer Interested,Research Contract,Research Contract,RIC RE&D and BD&I,2018-12-02T23:45:10.000Z,1/11/19,17/12/18,0,,,,,,,,0012e000003A6qZAAS,,,,,,,,0052e000000VJIFAA4,
0062e000002HGB4AAO,Closed Lost,Other (Lost),Custom Education (MSPACE Included),Custom Education (MSPACE Included),RIC RE&D and BD&I,2018-11-12T00:03:10.000Z,1/11/19,20/11/18,0,,,,,,B2B/Custom,Non-accredited,0012e000003A6Q9AAK,,,,,,,,0052e000000VJIFAA4,
0062e000002HGB5AAO,Closed Lost,Customer No Longer Interested,Research Contract,Research Contract,RIC RE&D and BD&I,2018-08-31T04:20:35.000Z,1/11/19,17/12/18,0,,,,,,,,0012e000003A6ugAAC,,,,,,,,0052e000000VJIFAA4,
0062e000002HGB6AAO,Closed Lost,Customer No Longer Interested,Research Contract,Research Contract,RIC RE&D and BD&I,2018-12-10T00:00:30.000Z,1/11/19,17/12/18,0,,,,,,,,0012e000003A6W0AAK,,,,,,,,0052e000000VJIFAA4,
0062e000002HGB7AAO,Closed Lost,Customer No Longer Interested,Research Contract,Research Contract,RIC RE&D and BD&I,2018-09-07T00:40:34.000Z,1/11/19,17/12/18,0,,,,,,,,0012e000003A6unAAC,,,,,,,,0052e000000VJIFAA4,
0062e000002HGB8AAO,Closed Lost,Customer No Longer Interested,Research Contract,Research Contract,RIC RE&D and BD&I,2018-10-08T00:12:56.000Z,1/11/19,17/12/18,0,,,,,,,,0012e000003A6v1AAC,,,,,,,,0052e000000VJIFAA4,
0062e000002HGB9AAO,Closed Lost,Other (Lost),Research Contract,Research Contract,RIC RE&D and BD&I,2018-10-05T00:22:41.000Z,1/11/19,9/10/18,0,,,,,,,,0012e000003A6v2AAC,,,,,,,,0052e000000VJIFAA4,
0062e000002HGBAAA4,Closed Lost,Customer No Longer Interested,Consultancy (Non-research),Consultancy (Non-research),RIC-BD&I,2019-01-02T00:55:07.000Z,1/11/19,4/1/19,0,,,,,,,,0012e000003A6ErAAK,,,0012e000002ZLg7AAG,,,,,0052e000000VJIFAA4,
0062e000002HGBBAA4,Closed Lost,Customer No Longer Interested,Research Contract,Research Contract,RIC RE&D and BD&I,2018-09-03T00:31:06.000Z,1/11/19,17/12/18,0,,,,,,,,0012e000003A6ErAAK,,,,,,,,0052e000000VJIFAA4,
0062e000002HGBCAA4,Closed Lost,Customer No Longer Interested,Research Contract,Research Contract,RIC RE&D and BD&I,2018-10-29T23:21:54.000Z,1/11/19,17/12/18,0,,,,,,,,0012e000003A6WTAA0,,,,,,,,0052e000000VJIFAA4,
