Id,OpportunityId,CreatedById,CreatedDate,Field,OldValue,NewValue
0172e00000a0fbBAAQ,0062e000002JRZ2AAO,0052e000000VJE4AAO,15/12/2019 21:33,StageName,Post Award,Closed
0172e00000a1dLxAAI,0062e000002IWb1AAG,0052e000000VJB4AAO,15/12/2019 23:20,StageName,Closing,Closed Won
0172e00000a1dreAAA,0062e000002IWb1AAG,0052e000000VJB4AAO,15/12/2019 23:19,StageName,Identifying,Closing
0172e00000a2rvnAAA,0062e000002HG5NAAW,0052e000000VJCzAAO,16/12/2019 1:00,StageName,Identifying,Closed Lost
0172e00000a2uZzAAI,0062e000002HGXCAA4,0052e000000VJGwAAO,16/12/2019 1:03,StageName,Identifying,Closed Lost
0172e00000a2vUqAAI,0062e000002HujiAAC,0052e000000VJGwAAO,16/12/2019 1:05,StageName,Identifying,Closed Lost
0172e00000a2w15AAA,0062e000002HGXHAA4,0052e000000VJGwAAO,16/12/2019 1:06,StageName,Identifying,Closed Lost
0172e00000a2wAvAAI,0062e000002HGXUAA4,0052e000000VJGwAAO,16/12/2019 1:07,StageName,Identifying,Closed Lost
0172e00000a2XlMAAU,0062e000002HG41AAG,0052e000000VJCIAA4,16/12/2019 0:34,StageName,Identifying,Closed Lost
0172e00000a2ZfWAAU,0062e000002HG3yAAG,0052e000000VJCIAA4,16/12/2019 0:36,StageName,Identifying,Closed Lost
0172e00000a2zHkAAI,0062e000002HG4NAAW,0052e000000VJCIAA4,16/12/2019 1:12,StageName,Identifying,Closed Lost
0172e00000a34D0AAI,0062e000002JRelAAG,0052e000000VJGwAAO,16/12/2019 1:17,StageName,Identifying,Developing
0172e00000a56FBAAY,0062e000002HHCMAA4,0052e000000VJEBAA4,16/12/2019 4:51,StageName,Developing,Identifying
0172e00000a5PVwAAM,0062e000002HGjGAAW,0052e000000VJCIAA4,16/12/2019 5:22,StageName,Developing,Closed Lost
0172e00000a5SOqAAM,0062e000002HGo8AAG,0052e000000VJCIAA4,16/12/2019 5:28,StageName,Developing,Closed Lost
