Id,WhatId,ActivityDate,Status,OwnerId,Type,TaskSubtype
00T2e000003u3g8EAA,0062e000002HGD0AAO,4/10/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003u1MNEAY,0062e000002HGD0AAO,30/9/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003u0wEEAQ,0062e000002HGD0AAO,4/10/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tq9DEAQ,0062e000002HGD0AAO,19/9/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tjHGEAY,0062e000002HGD0AAO,4/10/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003u5NnEAI,0062e000002HGD4AAO,16/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003u3tKEAQ,0062e000002HGD4AAO,8/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003u3rZEAQ,0062e000002HGD4AAO,12/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003txQAEAY,0062e000002HGD4AAO,12/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003treqEAA,0062e000002HGD4AAO,16/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tpXZEAY,0062e000002HGD4AAO,12/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003toiiEAA,0062e000002HGD4AAO,8/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tlxzEAA,0062e000002HGD4AAO,8/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tkJ1EAI,0062e000002HGD4AAO,12/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003thtvEAA,0062e000002HGD4AAO,12/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tfQXEAY,0062e000002HGD4AAO,8/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000006WuwWEAS,0062e000002HGD6AAO,7/8/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006WuD2EAK,0062e000002HGD6AAO,7/8/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006WstGEAS,0062e000002HGD6AAO,7/8/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006WQpDEAW,0062e000002HGD6AAO,6/8/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006W3naEAC,0062e000002HGD6AAO,5/8/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006W3nQEAS,0062e000002HGD6AAO,5/8/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006VydXEAS,0062e000002HGD6AAO,5/8/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006VvhcEAC,0062e000002HGD6AAO,5/8/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006VudbEAC,0062e000002HGD6AAO,5/8/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006Vud7EAC,0062e000002HGD6AAO,5/8/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006VucTEAS,0062e000002HGD6AAO,5/8/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006VuXaEAK,0062e000002HGD6AAO,5/8/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006VtcaEAC,0062e000002HGD6AAO,5/8/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006T4ZbEAK,0062e000002HGD6AAO,30/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006RmUuEAK,0062e000002HGD6AAO,27/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006RXGNEA4,0062e000002HGD6AAO,27/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006RWqbEAG,0062e000002HGD6AAO,27/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006RQDKEA4,0062e000002HGD6AAO,27/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006RHrfEAG,0062e000002HGD6AAO,27/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006QuP2EAK,0062e000002HGD6AAO,24/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006QuHwEAK,0062e000002HGD6AAO,24/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006QuHhEAK,0062e000002HGD6AAO,24/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006QHmwEAG,0062e000002HGD6AAO,23/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006QFJxEAO,0062e000002HGD6AAO,23/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006QFF3EAO,0062e000002HGD6AAO,23/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006Q8BZEA0,0062e000002HGD6AAO,23/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006Q83hEAC,0062e000002HGD6AAO,23/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006Q7tmEAC,0062e000002HGD6AAO,23/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006Q735EAC,0062e000002HGD6AAO,23/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006Q71xEAC,0062e000002HGD6AAO,23/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006PqSzEAK,0062e000002HGD6AAO,22/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006PnKdEAK,0062e000002HGD6AAO,22/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006PnKEEA0,0062e000002HGD6AAO,22/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006PCwiEAG,0062e000002HGD6AAO,21/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006OX6PEAW,0062e000002HGD6AAO,20/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006OTgjEAG,0062e000002HGD6AAO,20/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006NKL0EAO,0062e000002HGD6AAO,16/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006NHr4EAG,0062e000002HGD6AAO,16/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006N1V3EAK,0062e000002HGD6AAO,16/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006MDG8EAO,0062e000002HGD6AAO,14/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006MChUEAW,0062e000002HGD6AAO,14/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006MCTbEAO,0062e000002HGD6AAO,14/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006MCTWEA4,0062e000002HGD6AAO,14/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006MCTMEA4,0062e000002HGD6AAO,14/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006MCTCEA4,0062e000002HGD6AAO,14/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006MCT7EAO,0062e000002HGD6AAO,14/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006MBXIEA4,0062e000002HGD6AAO,14/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006MAehEAG,0062e000002HGD6AAO,14/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006LxtjEAC,0062e000002HGD6AAO,14/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006KrhxEAC,0062e000002HGD6AAO,10/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006KrfOEAS,0062e000002HGD6AAO,13/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006K8ebEAC,0062e000002HGD6AAO,10/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006K2SSEA0,0062e000002HGD6AAO,10/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006K2SDEA0,0062e000002HGD6AAO,10/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006JzBNEA0,0062e000002HGD6AAO,9/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006JyRJEA0,0062e000002HGD6AAO,9/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006JyREEA0,0062e000002HGD6AAO,9/7/20,Completed,0052e000000VJDbAAO,,Email
00T2e000006JyFwEAK,0062e000002HGD6AAO,9/7/20,Completed,0052e000000VJDbAAO,,Email
