Id,StageName,Status_Reason__c,RecordType.Name,RICE_Supported__c,CreatedDate,CloseDate,AccountId,Lead_Faculty__c,Parent_Opportunity__c,RecordType.Name.1,Industry,Business_Type__c,Is_External__c,ParentId
0062e000002Hc2PAAS,0,Customer No Longer Interested,Custom Education (MSPACE Included),RIC-BD&I,2019-11-07T00:59:46.000Z,31/8/20,0012e000003AqeVAAS,0012e000002ZGfbAAG,1,Business Organization,Health,Multinational / Other Large Corporate,External,1
0062e000002HFtaAAG,0,Customer Not Responding,Research Contract,RIC RE&D and BD&I,2015-11-12T22:32:24.000Z,1/11/19,,,1,Business Organization,Services,Not for profit,,1
0062e000002HFtAAAW,0,Other (Lost),Research Contract,Not supported,2016-05-27T02:30:40.000Z,1/11/19,0012e000003A6FtAAK,0012e000002ZmnzAAC,1,Business Organization,Energy & Utilities,SME (small to medium enterprise),External,1
0062e000002HFtbAAG,0,Customer No Longer Interested,Research Contract,RIC RE&D and BD&I,2015-10-30T04:23:01.000Z,1/11/19,,,1,Business Organization,Services,Not for profit,,1
0062e000002HFtBAAW,0,Other (Lost),Consultancy (Non-research),RIC RE&D and BD&I,2016-05-23T06:35:27.000Z,1/11/19,0012e000003A6vbAAC,,1,Business Organization,Agriculture & Horticulture,Not for profit,External,1
0062e000002HFtcAAG,0,Other (Lost),Research Contract,RIC RE&D and BD&I,2015-11-06T03:35:30.000Z,1/11/19,,,1,Business Organization,Services,Not for profit,,1
0062e000002HFtCAAW,0,Customer No Longer Interested,Consultancy (Non-research),RIC RE&D and BD&I,2016-05-23T03:32:44.000Z,1/11/19,0012e000003A6vbAAC,,1,Business Organization,Agriculture & Horticulture,Not for profit,External,1
0062e000002HFtdAAG,0,Other (Lost),Research Contract,RIC-BD&I,2018-07-22T23:49:30.000Z,1/11/19,,0012e000002ZGfbAAG,1,Business Organization,Services,Not for profit,,1
0062e000002HFtDAAW,0,Other (Lost),Research Contract,RIC RE&D and BD&I,2015-12-18T01:40:38.000Z,1/11/19,,0012e000002ZmnzAAC,1,Business Organization,Services,Not for profit,,1
0062e000002HFteAAG,0,Other (Lost),Technology Transfer,RIC RE&D and BD&I,2018-06-20T23:24:13.000Z,1/11/19,,0012e000002ZmnxAAC,1,Business Organization,Services,Not for profit,,1
0062e000002HFtEAAW,0,Customer No Longer Interested,Custom Education (MSPACE Included),RIC RE&D and BD&I,2015-12-09T23:20:54.000Z,1/11/19,,0012e000002ZGfbAAG,1,Business Organization,Services,Not for profit,,1
0062e000002HFtfAAG,0,Other (Lost),Research Contract,RIC RE&D and BD&I,2017-05-10T04:08:40.000Z,1/11/19,,0012e000002Zmo0AAC,1,Business Organization,Services,Not for profit,,1
0062e000002HFtFAAW,0,Customer No Longer Interested,Research Contract,RIC RE&D and BD&I,2016-05-05T06:15:47.000Z,1/11/19,0012e000003A6vTAAS,,1,Business Organization,Agriculture & Horticulture,Not for profit,External,1
0062e000002HFtgAAG,0,Customer Not Responding,Technology Transfer,RIC RE&D and BD&I,2016-04-22T05:12:39.000Z,1/11/19,0012e000003A6FNAA0,,1,Business Organization,Mining & Refining,SME (small to medium enterprise),External,1
0062e000002HFtGAAW,0,Other (Lost),Research Contract,RIC RE&D and BD&I,2016-05-06T04:44:31.000Z,1/11/19,0012e000003A6voAAC,,1,Business Organization,Agriculture & Horticulture,PFRO (Publicly-Funded Research Organisation),External,1
0062e000002HFthAAG,0,Other (Lost),Research Contract,RIC RE&D and BD&I,2015-11-18T04:38:08.000Z,1/11/19,0012e000003A6GTAA0,,1,Business Organization,Technology: IT & Telephone Services,SME (small to medium enterprise),External,1
0062e000002HFtHAAW,0,Customer No Longer Interested,Research Contract,RIC RE&D and BD&I,2016-05-25T04:31:14.000Z,1/11/19,0012e000003A6jpAAC,,1,Business Organization,Services,SME (small to medium enterprise),External,1
0062e000002HFtiAAG,0,Other (Lost),Consultancy (Non-research),RIC RE&D and BD&I,2016-08-23T00:09:49.000Z,1/11/19,0012e000003A6GlAAK,0012e000002ZmnxAAC,1,Business Organization,Manufacturing & R&D,Multinational / Other Large Corporate,External,1
0062e000002HFtIAAW,0,Other (Lost),Research Contract,Not supported,2019-03-13T03:15:50.000Z,1/11/19,0012e000003A6DsAAK,0012e000002ZmnxAAC,1,Business Organization,Services,Not for profit,External,1
0062e000002HFtjAAG,0,Other (Lost),Consultancy (Non-research),RIC RE&D and BD&I,2016-05-31T12:56:19.000Z,1/11/19,,0012e000002ZNYOAA4,1,Business Organization,Services,Not for profit,,1
0062e000002HFtJAAW,0,Other (Lost),Research Contract,Not supported,2019-03-18T04:28:04.000Z,1/11/19,0012e000003A6EBAA0,0012e000002ZLgIAAW,1,Business Organization,Services,Not for profit,External,1
